,Lemmatized_Comment,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
0,appreciate stating obvious,0,0,0,0,0,0
1,randy orion stagnant complacent wrestler timeWhatever come pose dot ryo pose leavesWhatever orion talented biggerWhatever probably still think wrestling real huh bigger sell move better anybody current rosterWhatever alright stop look half word probably Whatever,0,0,0,0,0,0
2,fucking ugly,0,0,0,0,0,0
3,illuminati first place change name fucking messiah following people your cool telling people kill argument album artwork get life,0,0,0,0,0,0
4,gay bacon,0,0,0,0,0,0
5,hi,0,0,0,0,0,0
6,dope like edit video,0,0,0,0,0,0
7,love much would mean world followed,0,0,0,0,0,0
8,pink tank,0,0,0,0,0,0
9,see find,0,0,0,0,0,0
10,laughing yes true,0,0,0,0,0,0
11,wo,0,0,0,0,0,0
12,amazing shot,0,0,0,0,0,0
13,okay abuse literally fell love,0,0,0,0,0,0
14,love youu,0,0,0,0,0,0
15,watch beat tight verse crazy,0,0,0,0,0,0
16,agree,0,0,0,0,0,0
17,fresh,0,0,0,0,0,0
18,oh,0,0,0,0,0,0
19,real california Whatever,0,0,0,0,0,0
20,smart pal,0,0,0,0,0,0
21,must concentrate must concentrate squirrel,0,0,0,0,0,0
22,received email reply checked junk also site say may package shipped april package receiving package may make package april,0,0,0,0,0,0
23,even kid see mother suh,0,0,0,0,0,0
24,laughter,0,0,0,0,0,0
25,laughing and,0,0,0,0,0,0
26,claim prize email thanks,0,0,0,0,0,0
27,agreed,0,0,0,0,0,0
28,thanks basic,0,0,0,0,0,0
29,da ganache end,0,0,0,0,0,0
30,fuck nasty,0,0,0,0,0,0
31,tux panic make wanna barf teared bit reading first time still thoroughly disgusted somebody would actually write something sick another note whoever wrote prepared murdered,0,0,0,0,0,0
32,ray,0,0,0,0,0,0
33,sad year old know,0,0,0,0,0,0
34,yours hair,0,0,0,0,0,0
35,dat actually great idea,0,0,0,0,0,0
36,happy birthday baby girl,0,0,0,0,0,0
37,face,0,0,0,0,0,0
38,cutie,0,0,0,0,0,0
39,beautifull love justin,0,0,0,0,0,0
40,yes grandma said stuff like actually vagina thing grandpa mentioned,0,0,0,0,0,0
41,mature call,0,0,0,0,0,0
42,love hair cut charlie,0,0,0,0,0,0
43,larry little moment Smile,0,0,0,0,0,0
44,noo dying need minute,0,0,0,0,0,0
45,made get counted,0,0,0,0,0,0
46,soo cute oh god,0,0,0,0,0,0
47,pillow pet like that,0,0,0,0,0,0
48,true,0,0,0,0,0,0
49,hahaha dude chick aint nun better put ramen head laughing,0,0,0,0,0,0
50,agree randy orion champ,0,0,0,0,0,0
51,cliche lace wie ich zum schlub,0,0,0,0,0,0
52,love matthew,0,0,0,0,0,0
53,lindo,0,0,0,0,0,0
54,babe,0,0,0,0,0,0
55,wow stay lane dude getting ahead living see chris putting work freeloader living purpose johanna buy ya ass time run tell laughing loud,0,0,0,0,0,0
56,battlepack randy orion versus mason ryan,0,0,0,0,0,0
57,cut miss doll,0,0,0,0,0,0
58,boi old as hat laughing loud,0,0,0,0,0,0
