Comment,Lemmatized_Comment,Overall_CB_Status,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
zany,zany,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
niall,niall,0,0,0,0,0,0,0
get gif cannot have phone,get gif cannot have phone,0,0,0,0,0,0,0
larry zany sexy niall liam something stupid back,larry zany sexy niall liam something stupid back,0,0,0,0,0,0,0
pretty much,pretty much,0,0,0,0,0,0,0
men,men,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
looking lady,looking lady,0,0,0,0,0,0,0
larry little moment Smile,larry little moment Smile,0,0,0,0,0,0,0
actually fans one direction larry hard tell tbe,actually fan one direction larry hard tell tbe,0,0,0,0,0,0,0
laughing ass eleanor shipper mean bitch laughing loud shut,laughing as eleanor shipper mean bitch laughing loud shut,1,0,0,0,0,0,1
really,really,0,0,0,0,0,0,0
bitch saying people seem care larry nowadays,bitch saying people seem care larry nowadays,0,0,0,0,0,0,0
ad,ad,0,0,0,0,0,0,0
motherfuckers need jesus love boys,motherfucker need jesus love boy,0,0,0,0,0,0,0
staring niall whole time laughing loud,staring niall whole time laughing loud,0,0,0,0,0,0,0
got larry yay,got larry yay,0,0,0,0,0,0,0
craic daddy craic daddy craic daddy,craic daddy craic daddy craic daddy,0,0,0,0,0,0,0
yes feel like changed many peoples life including mine Smile,yes feel like changed many people life including mine Smile,0,0,0,0,0,0,0
larry zany cool dance liam big child well niall niall,larry zany cool dance liam big child well niall niall,0,0,0,0,0,0,0
less,le,0,0,0,0,0,0,0
oh god hahaha,oh god hahaha,0,0,0,0,0,0,0
ie i harry og louii i i to,ie i harry og louii i i to,0,0,0,0,0,0,0
larry side screaming,larry side screaming,0,0,0,0,0,0,0
jam,jam,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
niall though,niall though,0,0,0,0,0,0,0
ily,ily,0,0,0,0,0,0,0
larry cute niall niall lol liam aw aw zany sexy,larry cute niall niall lol liam aw aw zany sexy,0,0,0,0,0,0,0
yesyesyesyes,yesyesyesyes,0,0,0,0,0,0,0
loll niall,loll niall,0,0,0,0,0,0,0
laughing loud,laughing loud,0,0,0,0,0,0,0
laughing loud,laughing loud,0,0,0,0,0,0,0
liam,liam,0,0,0,0,0,0,0
oh god hahahahahah,oh god hahahahahah,0,0,0,0,0,0,0
niall,niall,0,0,0,0,0,0,0
but niall,but niall,0,0,0,0,0,0,0
niall,niall,0,0,0,0,0,0,0
oh god yes hahaha,oh god yes hahaha,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
laughing yes true,laughing yes true,0,0,0,0,0,0,0
look niall,look niall,0,0,0,0,0,0,0
boys,boy,0,0,0,0,0,0,0
hahaha look niall,hahaha look niall,0,0,0,0,0,0,0
know bit larry side,know bit larry side,0,0,0,0,0,0,0
haha,haha,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
cannot even guys take loads pics text everything cause ahahshaodmisjsalqopadnsn happy oh god,cannot even guy take load pic text everything cause ahahshaodmisjsalqopadnsn happy oh god,0,0,0,0,0,0,0
everyone dancing larry well larry,everyone dancing larry well larry,0,0,0,0,0,0,0
pretty much pretty much,pretty much pretty much,0,0,0,0,0,0,0
niall,niall,0,0,0,0,0,0,0
larry ah,larry ah,0,0,0,0,0,0,0
ship larry hard pretty much sum way love page,ship larry hard pretty much sum way love page,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
foot numb,foot numb,0,0,0,0,0,0,0
literally one direction perfectly summed larry zany crazy liam niall oh niall worry,literally one direction perfectly summed larry zany crazy liam niall oh niall worry,0,0,0,0,0,0,0
larry,larry,0,0,0,0,0,0,0
hahaha larry happening much anymore cuz people kept bothering sucks cuz deserve live lives,hahaha larry happening much anymore cuz people kept bothering suck cuz deserve live life,0,0,0,0,0,0,0
wow argument,wow argument,0,0,0,0,0,0,0
laughing Winking,laughing Winking,0,0,0,0,0,0,0
niall liam zany random larry moments,niall liam zany random larry moment,0,0,0,0,0,0,0
oh niall,oh niall,0,0,0,0,0,0,0
yes direction buddies school,yes direction buddy school,0,0,0,0,0,0,0
hell yes,hell yes,0,0,0,0,0,0,0
niall,niall,0,0,0,0,0,0,0
seen,seen,0,0,0,0,0,0,0
get girl,get girl,0,0,0,0,0,0,0
loved wit,loved wit,0,0,0,0,0,0,0
saw damn girl,saw damn girl,0,0,0,0,0,0,0
awesome,awesome,0,0,0,0,0,0,0
loved,loved,0,0,0,0,0,0,0
cutest little bad ass ever Smile,cutest little bad as ever Smile,0,0,0,0,0,0,0
seen dudes watching favorite sytycd dancers saw yet good,seen dude watching favorite sytycd dancer saw yet good,0,0,0,0,0,0,0
amazing love,amazing love,0,0,0,0,0,0,0
saw,saw,0,0,0,0,0,0,0
thought allowed couch,thought allowed couch,0,0,0,0,0,0,0
saw,saw,0,0,0,0,0,0,0
Happy,Happy,0,0,0,0,0,0,0
hair perfect die,hair perfect die,0,0,0,0,0,0,0
beautiful,beautiful,0,0,0,0,0,0,0
vow muito linda cara,vow muito linda cara,0,0,0,0,0,0,0
crepes,crepe,0,0,0,0,0,0,0
love hair,love hair,0,0,0,0,0,0,0
marry queen,marry queen,0,0,0,0,0,0,0
beautiful love gemma,beautiful love gemma,0,0,0,0,0,0,0
like new look,like new look,0,0,0,0,0,0,0
face harry,face harry,0,0,0,0,0,0,0
gorgeous,gorgeous,0,0,0,0,0,0,0
gemma hair damn cool love,gemma hair damn cool love,0,0,0,0,0,0,0
cute please,cute please,0,0,0,0,0,0,0
hair beaut,hair beaut,0,0,0,0,0,0,0
new hair cool,new hair cool,0,0,0,0,0,0,0
love gemma,love gemma,0,0,0,0,0,0,0
hair oh god,hair oh god,0,0,0,0,0,0,0
love your'e hair,love your'e hair,0,0,0,0,0,0,0
que bonitinha,que bonitinha,0,0,0,0,0,0,0
yours hair,yours hair,0,0,0,0,0,0,0
love hair,love hair,0,0,0,0,0,0,0
ins came,in came,0,0,0,0,0,0,0
a meu deus amor,a meu deus amor,0,0,0,0,0,0,0
om look like harry like smiles laughing loud,om look like harry like smile laughing loud,0,0,0,0,0,0,0
hair,hair,0,0,0,0,0,0,0
hair pretty please,hair pretty please,0,0,0,0,0,0,0
linda,linda,0,0,0,0,0,0,0
want hair oh god,want hair oh god,0,0,0,0,0,0,0
beautiful hair,beautiful hair,0,0,0,0,0,0,0
ilya,ilya,0,0,0,0,0,0,0
say hair looks pretty darn good,say hair look pretty darn good,0,0,0,0,0,0,0
sosisosisosi pretty,sosisosisosi pretty,0,0,0,0,0,0,0
or yes soo good hair amazing love drawing everything good,or yes soo good hair amazing love drawing everything good,0,0,0,0,0,0,0
sounds like good day,sound like good day,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
smile like harry,smile like harry,0,0,0,0,0,0,0
like hair gemma,like hair gemma,0,0,0,0,0,0,0
harry smile two perfect,harry smile two perfect,0,0,0,0,0,0,0
beatrice miller,beatrice miller,0,0,0,0,0,0,0
smile like harry smile Teasing,smile like harry smile Teasing,0,0,0,0,0,0,0
oh look like harry course sister stunned Smile,oh look like harry course sister stunned Smile,0,0,0,0,0,0,0
nutella Infatuated,nutella Infatuated,0,0,0,0,0,0,0
cute,cute,0,0,0,0,0,0,0
hair,hair,0,0,0,0,0,0,0
mano it sofa ksldjsgdklsk,mano it sofa ksldjsgdklsk,0,0,0,0,0,0,0
i blame,i blame,0,0,0,0,0,0,0
gorgeous,gorgeous,0,0,0,0,0,0,0
yes or yes good,yes or yes good,0,0,0,0,0,0,0
love hair beautiful,love hair beautiful,0,0,0,0,0,0,0
soo love hair perfect,soo love hair perfect,0,0,0,0,0,0,0
jacket,jacket,0,0,0,0,0,0,0
smartass Winking,smarta Winking,0,0,0,0,0,0,0
perfect,perfect,0,0,0,0,0,0,0
love drawing,love drawing,0,0,0,0,0,0,0
hair amazing,hair amazing,0,0,0,0,0,0,0
rock hair style hair color freaking love hair gemma hair colors use,rock hair style hair color freaking love hair gemma hair color use,0,0,0,0,0,0,0
beautiful last pick saw twitter put pickure like ig icon,beautiful last pick saw twitter put pickure like ig icon,0,0,0,0,0,0,0
ly,ly,0,0,0,0,0,0,0
look like model,look like model,0,0,0,0,0,0,0
flawless,flawless,0,0,0,0,0,0,0
love hair,love hair,0,0,0,0,0,0,0
oh god gemma beautiful,oh god gemma beautiful,0,0,0,0,0,0,0
love be hair sweety,love be hair sweety,0,0,0,0,0,0,0
love hair,love hair,0,0,0,0,0,0,0
going cry,going cry,0,0,0,0,0,0,0
soo cute hair nice,soo cute hair nice,0,0,0,0,0,0,0
model,model,0,0,0,0,0,0,0
cutie,cutie,0,0,0,0,0,0,0
really beautiful perfect,really beautiful perfect,0,0,0,0,0,0,0
want like follow fashion road try look like mum care abou look hahaha ex,want like follow fashion road try look like mum care abou look hahaha ex,0,0,0,0,0,0,0
soo cute oh god,soo cute oh god,0,0,0,0,0,0,0
ate or yes today good,ate or yes today good,0,0,0,0,0,0,0
oh god ate crepes yesterday first time soo good,oh god ate crepe yesterday first time soo good,0,0,0,0,0,0,0
oh god dyed hair,oh god dyed hair,0,0,0,0,0,0,0
dining gemma smut but yes,dining gemma smut but yes,0,0,0,0,0,0,0
trip harry,trip harry,0,0,0,0,0,0,0
like girl version harry really look like brother even smile,like girl version harry really look like brother even smile,0,0,0,0,0,0,0
laughing eye Whatever amanda jugaWhateverkakak ade ad,laughing eye Whatever amanda jugaWhateverkakak ade ad,0,0,0,0,0,0,0
harry smile soo cute,harry smile soo cute,0,0,0,0,0,0,0
gemma sua linda,gemma sua linda,0,0,0,0,0,0,0
notting hill,notting hill,0,0,0,0,0,0,0
study chemistry uni,study chemistry uni,0,0,0,0,0,0,0
dhe feeling ko is chem si gemma,dhe feeling ko is chem si gemma,0,0,0,0,0,0,0
bebe,bebe,0,0,0,0,0,0,0
styles family perfect fuck fuck,style family perfect fuck fuck,0,0,0,0,0,0,0
zealand,zealand,0,0,0,0,0,0,0
cute like harry Octopus,cute like harry Octopus,0,0,0,0,0,0,0
independent,independent,0,0,0,0,0,0,0
oh god chemistry equipment,oh god chemistry equipment,0,0,0,0,0,0,0
maybe knock appreciation actual art brother head,maybe knock appreciation actual art brother head,0,0,0,0,0,0,0
my love crews,my love crew,0,0,0,0,0,0,0
give crepe,give crepe,0,0,0,0,0,0,0
hands best crepe mykonos please bring crepe bak oz,hand best crepe mykonos please bring crepe bak oz,0,0,0,0,0,0,0
my seems soo good,my seems soo good,0,0,0,0,0,0,0
learned make crepes Smile good,learned make crepe Smile good,0,0,0,0,0,0,0
perfect gem fuck,perfect gem fuck,0,0,0,0,0,0,0
liimmndaa,liimmndaa,0,0,0,0,0,0,0
yummy love or yes Dazed,yummy love or yes Dazed,0,0,0,0,0,0,0
harry exact,harry exact,0,0,0,0,0,0,0
please follow mee,please follow mee,0,0,0,0,0,0,0
pretty holy fuck,pretty holy fuck,0,0,0,0,0,0,0
fucking attractive,fucking attractive,0,0,0,0,0,0,0
smile tho,smile tho,0,0,0,0,0,0,0
seems like taco,seems like taco,0,0,0,0,0,0,0
yummy,yummy,0,0,0,0,0,0,0
your smile,your smile,0,0,0,0,0,0,0
remember dark brown hair would show picture sis would like yes gemma said hey name jenna smiled,remember dark brown hair would show picture si would like yes gemma said hey name jenna smiled,0,0,0,0,0,0,0
Whatever,Whatever,0,0,0,0,0,0,0
food,food,0,0,0,0,0,0,0
look like harry,look like harry,0,0,0,0,0,0,0
cuter,cuter,0,0,0,0,0,0,0
course like look picture or yes look alike,course like look picture or yes look alike,0,0,0,0,0,0,0
oh god yes,oh god yes,0,0,0,0,0,0,0
love hat Smile,love hat Smile,0,0,0,0,0,0,0
cute,cute,0,0,0,0,0,0,0
love or i,love or i,0,0,0,0,0,0,0
haha,haha,0,0,0,0,0,0,0
or pe long ago called oreep lol,or pe long ago called oreep lol,0,0,0,0,0,0,0
or pe huh love life,or pe huh love life,0,0,0,0,0,0,0
oh yeah les or yes est fran is mihi maintenant je suis fi re tre fran ise male proud french,oh yeah le or yes est fran is mihi maintenant je suis fi re tre fran ise male proud french,0,0,0,0,0,0,0
guys freakin lovely dimple,guy freakin lovely dimple,0,0,0,0,0,0,0
oh mais les or yes est button done,oh mais le or yes est button done,0,0,0,0,0,0,0
nutella,nutella,0,0,0,0,0,0,0
hate chemistry laughing loud,hate chemistry laughing loud,0,0,0,0,0,0,0
going awesome show,going awesome show,0,0,0,0,0,0,0
abstraction next,abstraction next,0,0,0,0,0,0,0
laws ladder,law ladder,0,0,0,0,0,0,0
seriously busting,seriously busting,0,0,0,0,0,0,0
need one,need one,0,0,0,0,0,0,0
love new works,love new work,0,0,0,0,0,0,0
dope,dope,0,0,0,0,0,0,0
get colours even acrylic shapes clean masking tape,get colour even acrylic shape clean masking tape,0,0,0,0,0,0,0
philly,philly,0,0,0,0,0,0,0
sick,sick,0,0,0,0,0,0,0
new haring carol,new haring carol,0,0,0,0,0,0,0
color schemes burst brain,color scheme burst brain,0,0,0,0,0,0,0
sick,sick,0,0,0,0,0,0,0
nice,nice,0,0,0,0,0,0,0
laws ladder rare one one,law ladder rare one one,0,0,0,0,0,0,0
amazing,amazing,0,0,0,0,0,0,0
wowzerino,wowzerino,0,0,0,0,0,0,0
whatt laws going papa,whatt law going papa,0,0,0,0,0,0,0
feel watched sponge bob acid one time struck gold,feel watched sponge bob acid one time struck gold,0,0,0,0,0,0,0
woo,woo,0,0,0,0,0,0,0
nice,nice,0,0,0,0,0,0,0
could please painting know never able afford thought might try luck ex feel free tell fuck love work regardless,could please painting know never able afford thought might try luck ex feel free tell fuck love work regardless,0,0,0,0,0,0,0
